-----------------------------------------------------
-----------------------------------------------------
Test files:
data_array20000.csv
data_array520000.csv
data_array1020000.csv
data_array1520000.csv
data_array2020000.csv
data_array2520000.csv
data_array3020000.csv
data_array3520000.csv
data_array4020000.csv
data_array4520000.csv
data_array5020000.csv
data_array5520000.csv
data_array6020000.csv
data_array6520000.csv
data_array7020000.csv
data_array7520000.csv
data_array8020000.csv
data_array8520000.csv
data_array9020000.csv
data_array9520000.csv

NOTES: Testing quick sort algorithm of various array sizes (total of 20 intervals between 20,000 and 10,000,000)
with a range between 2 and 300 recursions, increased by two, as well as getting the amount of time it takes
for each array to run. Also getting the average of three runs to filter out any non-significant differences in the run time.
-----------------------------------------------------

*************** Quick sorting array size: 20000 ***************

Number of Recursions: 206  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 759966 ns = (average) 8759966 ns
Number of Recursions: 208  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 867433 ns = (average) 8867433 ns
Number of Recursions: 210  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 575033 ns = (average) 8575033 ns
Number of Recursions: 212  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 471033 ns = (average) 8471033 ns
Number of Recursions: 214  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 300833 ns = (average) 10300833 ns
Number of Recursions: 216  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 354633 ns = (average) 9354633 ns
Number of Recursions: 218  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 716666 ns = (average) 8716666 ns
Number of Recursions: 220  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 276166 ns = (average) 10276166 ns
Number of Recursions: 222  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 865200 ns = (average) 9865200 ns
Number of Recursions: 224  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 583100 ns = (average) 10583100 ns
Number of Recursions: 226  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 80300 ns = (average) 11080300 ns
Number of Recursions: 228  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 14 ms : 941566 ns = (average) 14941566 ns
Number of Recursions: 230  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 14733 ns = (average) 10014733 ns
Number of Recursions: 232  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 453366 ns = (average) 12453366 ns
Number of Recursions: 234  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 16100 ns = (average) 10016100 ns
Number of Recursions: 236  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 871433 ns = (average) 8871433 ns
Number of Recursions: 238  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 839500 ns = (average) 10839500 ns
Number of Recursions: 240  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 978900 ns = (average) 9978900 ns
Number of Recursions: 242  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 664766 ns = (average) 11664766 ns
Number of Recursions: 244  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 944433 ns = (average) 10944433 ns
Number of Recursions: 246  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 291000 ns = (average) 9291000 ns
Number of Recursions: 248  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 482700 ns = (average) 9482700 ns
Number of Recursions: 250  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 516233 ns = (average) 9516233 ns
